,city id,city,country,lat,lon,cloudiness %,humidity %,max temp (F),wind speed (mph),date
272,3372964,Lagoa,PT,39.05,-27.9833,100,85,58.96,11.32,1619406628
273,2871992,Memmingen,DE,47.9837,10.1853,67,69,37.0,6.91,1619406628
274,2178753,Kirakira,SB,-10.4544,161.9205,69,75,84.24,1.34,1619406628
275,4845585,Westport,US,41.1415,-73.3579,40,76,52.0,6.91,1619406629
276,934482,Grand Baie,MU,-20.0182,57.5802,100,90,75.0,3.0,1619406629
277,5746545,Portland,US,45.5234,-122.6762,75,66,54.0,9.22,1619406309
278,4021858,Guerrero Negro,MX,27.9769,-114.0611,100,82,59.32,12.53,1619406630
279,3893629,Coquimbo,CL,-29.9533,-71.3436,0,94,53.6,3.96,1619406630
280,1496588,Novozaimka,RU,56.4857,66.9241,33,63,47.86,13.0,1619406630
281,2641434,Northam,GB,51.0333,-4.2167,37,83,43.0,13.0,1619406631
282,797213,Pervomayskoye,RU,43.919,46.7102,100,83,52.77,6.96,1619406631
283,1489822,Tegul'det,RU,57.3064,88.1667,100,97,37.58,3.24,1619406632
284,3628473,San Cristobal,VE,7.7669,-72.225,75,83,78.8,3.44,1619406632
285,1735634,Kuching,MY,1.55,110.3333,40,74,87.8,5.75,1619406632
286,3354077,Opuwo,NA,-18.0607,13.84,0,60,61.75,2.15,1619406633
287,3483393,Ciudad Gustavo Díaz Ordaz,MX,26.2333,-98.5833,38,63,77.0,1.01,1619406633
288,7671223,Kloulklubed,PW,7.0419,134.2556,75,74,86.0,17.27,1619406633
289,4944903,Nantucket,US,41.2835,-70.0995,1,93,46.4,18.41,1619406594
290,2023584,Imeni Poliny Osipenko,RU,52.4201,136.4853,64,28,50.32,7.45,1619406634
291,1631637,Pemangkat,ID,1.1667,108.9667,5,65,85.78,1.12,1619406634
292,6111862,Port Hardy,CA,50.6996,-127.4199,75,82,51.8,4.61,1619406635
293,2206894,Hokitika,NZ,-42.7167,170.9667,94,75,54.91,14.7,1619406635
294,159071,Iringa,TZ,-7.7667,35.7,99,95,59.97,2.53,1619406635
295,3585968,El Salvador,SV,13.8333,-88.9167,40,83,80.6,2.3,1619406636
296,3461425,Ilhabela,BR,-23.7781,-45.3581,90,78,71.49,1.99,1619406537
297,143073,Ardakān,IR,32.31,54.0175,40,28,73.4,4.61,1619406636
298,3936456,Lima,PE,-12.0432,-77.0282,40,88,66.0,4.61,1619406345
299,2126710,Beringovskiy,RU,63.05,179.3167,52,90,31.93,1.52,1619406637
300,3608828,Iralaya,HN,15.0,-83.2333,13,70,79.27,10.71,1619406637
301,2014694,Tyrma,RU,50.0833,132.1667,91,23,55.85,6.29,1619406638
